,name,L_1,L_2,L_3,L_6,L_7,L_8,L_4,L_5,A_k,A_p,A_a,A_loga,A_aa
0,xpt_FKFK_nnlo,,,,,,,0.0000(50),0.0000(50),0.00000(18),0.00000(18),0.0(3.9),,
1,xpt_FKFK_nnlo_a4,,,,,,,0.0000(50),0.0000(50),0.00000(20),0.00000(20),0.0(9.0),,0(64)
2,xpt_FKFK_nnlo_log_logSq_sunset,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.000(36),0.000(36),0.0(3.6),,
3,xpt_FKFK_nnlo_log_logSq_sunset_a4,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.000(26),0.000(26),0.0(3.6),,0.0(1.5)
4,xpt_FKFK_nnlo_log_logSq_sunset_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.000(17),0.000(17),0.0(3.4),,
5,xpt_FKFK_nnlo_log_logSq_sunset_a4_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0000(62),0.0000(62),0.0(3.5),,0.0(1.6)
6,xpt_FKFK_nnlo_alphaS,,,,,,,0.0000(50),0.0000(50),0.0000(62),0.0000(62),0.0(3.3),0.0(3.3),
7,xpt_FKFK_nnlo_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.00000(38),0.00000(38),0.0(7.7),0.0(7.7),0(66)
8,xpt_FKFK_nnlo_log_logSq_sunset_alphaS,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.00(14),0.00(14),0.0(3.0),0.0(3.0),
9,xpt_FKFK_nnlo_log_logSq_sunset_alphaS_a4,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.000(38),0.000(38),0.0(3.0),0.0(3.0),0.0(1.3)
10,xpt_FKFK_nnlo_log_logSq_sunset_alphaS_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.000(36),0.000(36),0.0(2.9),0.0(2.9),
